TypeName,Inches,ScreenResolution,Cpu,Ram,OpSys,Weight,price_inr,TouchScreen,HDD,SSD,SSHD,FStorage
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.2,60632,No,1000,0,0,0
Notebook,13.3,1920x1080,Intel i7,16,Windows 10,1.49,105336,No,0,512,0,0
Gaming,15.6,1920x1080,Intel i5,8,Windows 10,2.65,105160,No,0,256,0,0
Ultrabook,14.0,1920x1080,Intel i7,8,Windows 10,1.25,92312,No,0,256,0,0
2 in 1 Convertible,13.3,1920x1080,Intel i5,8,Windows 10,1.5,74536,Yes,0,256,0,0
Notebook,15.6,1920x1080,Intel i7,8,Linux,2.2,52791,No,1000,0,0,0
Notebook,15.6,1920x1080,Intel i3,4,Linux,2.2,42680,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i3,6,Windows 10,2,50776,No,0,256,0,0
Gaming,15.6,1920x1080,Intel i7,12,Windows 10,2.62,109912,No,1000,128,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,1.91,63272,No,0,256,0,0
Notebook,15.6,1920x1080,AMD E,4,Windows 10,2.1,30712,No,500,0,0,0
Notebook,15.6,1920x1080,Intel i5,8,Linux,2.2,56936,No,1000,0,0,0
Ultrabook,13.3,1920x1080,Intel i7,8,Windows 10,1.38,98472,No,0,256,0,0
Ultrabook,13.5,2256x1504,Intel i5,8,Windows 10 S,1.25,117920,Yes,0,256,0,0
Notebook,14.0,1920x1080,Intel i5,6,Windows 10,1.58,57992,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i3,4,Windows 10,1.85,36511,No,1000,0,0,0
Ultrabook,14.0,1920x1080,Intel i7,8,Windows 10,1.3,104984,No,0,256,0,0
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,2.2,114312,No,1000,256,0,0
Notebook,14.0,1920x1080,Intel i7,8,Windows 10,1.58,130240,No,0,256,0,0
Ultrabook,15.6,1920x1080,Intel i7,16,Windows 10,1.5,111056,No,1000,256,0,0
Ultrabook,13.3,3200x1800,Intel i7,8,Windows 10,1.23,121352,Yes,0,256,0,0
2 in 1 Convertible,13.3,1920x1080,Intel i5,8,Windows 10,1.37,123112,Yes,0,256,0,0
Notebook,14.0,1366x768,Intel i5,4,Windows 10,1.63,63536,No,500,0,0,0
Ultrabook,13.3,1920x1080,Intel i5,8,Windows 10,1.21,143352,No,0,256,0,0
2 in 1 Convertible,13.3,1920x1080,Intel i5,8,Windows 10,1.26,123111,Yes,0,256,0,0
Notebook,14.0,1920x1080,Intel i7,8,Windows 10,1.63,95392,No,0,512,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.16,99469,No,1000,256,0,0
Notebook,17.3,1920x1080,Intel i3,4,Windows 10,2,49632,No,1000,0,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,1.7,98384,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i3,6,Windows 10,2.1,42152,Yes,1000,0,0,0
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,1.8,197252,No,2000,256,0,0
Notebook,15.6,1920x1080,Intel i5,8,No OS,2.2,55352,No,0,256,0,0
Notebook,17.3,1920x1080,Intel i7,16,Windows 10,2.5,111848,No,0,512,0,0
Notebook,15.6,1366x768,AMD A9,4,Windows 10,2.1,39688,No,0,256,0,0
Notebook,15.6,1366x768,Intel Celeron,4,No OS,1.86,22792,No,500,0,0,0
Notebook,14.0,1920x1080,Intel i5,8,Windows 10,1.63,71456,No,1000,0,0,0
Notebook,14.0,1366x768,AMD E,4,Windows 10 S,1.65,24463,No,0,64,0,0
Notebook,17.3,1920x1080,Intel i7,16,Windows 10,2.8,122848,No,2000,256,0,0
Notebook,17.3,1920x1080,Intel i5,8,Windows 10,2.5,81664,No,0,256,0,0
Notebook,15.6,1366x768,Intel i5,8,Windows 10,2.36,56231,No,1000,0,0,0
Notebook,15.6,1920x1080,Intel i3,4,Windows 10,2.2,39512,No,1000,0,0,0
Ultrabook,14.0,1920x1080,Intel i7,8,Windows 10,1.6,77792,No,0,256,0,0
